Name,Chain,Address,Lat,Lng,Arktika,Arktika eriti kange,X-TREME,Black
Circle K Viimsi,Circle K,"Randvere tee 1, Viimsi vald, 74001 Harjumaa",59.4987648,24.8287767,,,,
Circle K Viljandi Endla,Circle K,"Endla 1, 71008 Viljandi",58.3699649,25.5988258,,,,
Circle K Viljandi Leola,Circle K,"Leola 71, 71018 Viljandi",58.3787999,25.5944081,,,,
Circle K Viljandi Männimäe,Circle K,"Riia mnt 52a, 71009 Viljandi",58.346003,25.5784727,,,,
Circle K Võidujooksu,Circle K,"Võidujooksu 10, 13628 Tallinn",59.4357299,24.8107972,,,,
Circle K Võru Kesklinn,Circle K,"Jüri 45, 65606 Võru",57.842185,27.0069553,,,,
Circle K Võru Pikk tn,Circle K,"Pikk 21a, 65604 Võru",57.8326521,27.0344491,,,,
Circle K Väljavahi,Circle K,"Haljala tee 6, Tõrremäe küla, Rakvere vald,  44415 Lääne-Virumaa",59.3660931,26.3385865,,,,
Circle K Õismäe,Circle K,Circle K Õismäe,59.424037,24.646754,,,,
CityAlko Ahtme,City Alko,Puru tee 77 Ahtme Ida-Virumaa 31023,59.3378279,27.4201405,,,,
CityAlko Arsenali,City Alko,"Erika 14, Tallinn 10416",59.4512135,24.7173716,,,,
CityAlko Kiviõli,City Alko,"Uus tn 1, Kiviõli, Ida-Virumaa 43121",59.3558045,26.9768255,,,,
CityAlko Magistrali,City Alko,"Sõpruse pst 201/203, Tallinn 13419",59.4016009,24.697653,,,,
CityAlko Mustakivi,City Alko,"Mustakivi 17, Tallinn, 13912",59.4432756,24.862741,,,,
CityAlko Nõmme,City Alko,"Turuplats 5/7, Tallinn 11611",59.3886588,24.6826631,,,,
CityAlko Pargi,City Alko,"Puru Tee 1, Jõhvi, 41534",59.3522689,27.4185427,,,,
CityAlko Pärnu,City Alko,"Pikk 12a, Pärnu 80013",58.387083,24.5053129,,,,
CityAlko Rakvere,City Alko,"Adoffi 11, Rakvere, Lääne-Virumaa 44310",59.3486538,26.3640704,,,,
Cityalko Raudalu,City Alko,"Viljandi Maantee 41, 11218 Tallinn",59.3664176,24.7587943,,,,
Cityalko SadaMarket,City Alko,"Kai 5, Sadama 6, 10111 Tallinn",59.4437962,24.7580837,,,,
Cityalko Sõbra,City Alko,"Sõbra CityAlko Võru 55F, Tartu 50111",58.3653743,26.7198605,,,,
CityAlko Viimsi,City Alko,Sõpruse tee 9 Haabneeme Viimsi vald 74001,59.5065306,24.8268745,,,,
CityAlko Vironia,City Alko,Järveküla tee 50 Kohtla-Järve Ida-Virumaa 30321,59.3975126,27.2859608,,,,
Emart Auto OÜ,Muu,Kuusalu tee 51 Harjumaa,59.4480008,25.4322745,,,,
Feenoks Anne,Feenoks,"Anne 24, 50605, Tartu",58.3803412,26.7476902,,,,
Feenoks Kaunase pst,Feenoks,"Kaunase pst 21A, 50706, Tartu",58.3736201,26.7675966,,,,
Feenoks Kuperjanovi,Feenoks,"Julius Kuperjanovi 20, 50409 Tartu",58.3761548,26.7119895,,,,
Good Morning OÜ,Muu,"Randvere tee 29, Tallinn",59.4804369,24.8547004,,,,
Grossi Toidukaubad Ahtme GT,Grossi Toidukaubad,Estonia puiestee 30a 31023 Ida-Viru maakond,59.3297124,27.4262685,,,,
Grossi Toidukaubad Aseri GT,Grossi Toidukaubad,"Tehase 23 Aseri, 43401 Ida-Virumaa",59.4496053,26.8668205,,,,
Grossi Toidukaubad Ehitajate tee GT,Grossi Toidukaubad,Ehitajate tee 41 12612 Tallinn,59.4017652,24.6685775,,,,
Grossi Toidukaubad Elektra,Grossi Toidukaubad,"Tobia küla, Rakvere vald 44416, Lääne-Virumaa",59.3455032,26.3126946,,,,
Grossi Toidukaubad Endla GT,Grossi Toidukaubad,Endla 53 10615 Tallinn,59.4274885,24.7156957,,,,
Grossi Toidukaubad Eve,Grossi Toidukaubad,"Sõpruse 5 Vinni, 46601 Lääne-Viru maakond",59.2909747,26.4280805,,,,
Grossi Toidukaubad Gea,Grossi Toidukaubad,"Võsu maantee 5 Haljala, 45301 Lääne-Viru maakond",59.4337145,26.2664303,,,,
Grossi Toidukaubad Iisaku GT,Grossi Toidukaubad,"Tartu maantee 55 Iisaku, 41101 Ida-Viru maakond",59.0949529,27.3145879,,,,
Grossi Toidukaubad Joogid,Grossi Toidukaubad,"Ed. Vilde 6a Rakvere, 44310 Lääne-Viru maakond",59.3460149,26.364274,,,,
Grossi Toidukaubad Jõgeva GT,Grossi Toidukaubad,"Tähe 10a Jõgeva, 48307 Jõgeva maakond",58.749512,26.3914721,,,,
Grossi Toidukaubad Jõhvi GT,Grossi Toidukaubad,"Tartu maantee 15a Jõhvi, 41538 Ida-Viru maakond",59.3534102,27.4115785,,,,
Grossi Toidukaubad Järva-Jaani GT,Grossi Toidukaubad,"Lai 23 Järva-Jaani, 73301 Järva maakond",59.0383473,25.884058,,,,
Grossi Toidukaubad Järvakandi GT,Grossi Toidukaubad,"Turu 1 Järvakandi, 79101 Rapla maakond",58.774336,24.8176108,,,,
Grossi Toidukaubad Järveotsa GT,Grossi Toidukaubad,Järveotsa tee 35b 13520 Tallinn,59.4073582,24.6406529,,,,
Grossi Toidukaubad Jüri GT,Grossi Toidukaubad,"Aruküla tee 7 Jüri, 75305 Harju maakond",59.3540811,24.893038,,,,
Grossi Toidukaubad Kadrina GT,Grossi Toidukaubad,"Viru 9 Kadrina, 45201 Lääne-Viru maakond",59.3412538,26.1307792,,,,
Grossi Toidukaubad Kalevi GT,Grossi Toidukaubad,"Kalevi 27 Kohtla-Järve, 30323 Ida-Viru maakond",59.4054054,27.283108,,,,
Grossi Toidukaubad Kari GT,Grossi Toidukaubad,Kari 3 10311 Tallinn,59.4477233,24.6978558,,,,
Grossi Toidukaubad Kehra GT,Grossi Toidukaubad,"Kose maantee 7 Kehra, 74305 Harju maakond",59.3346993,25.3329819,,,,
Grossi Toidukaubad Keila GT,Grossi Toidukaubad,"Piiri 5 Keila, 76610 Harju maakond",59.3124515,24.4175702,,,,
Grossi Toidukaubad Kevade,Grossi Toidukaubad,"Keskpuiestee 33 Kiviõli, 43124 Ida-Viru maakond",59.3563954,26.9752954,,,,
Grossi Toidukaubad Kivila GT,Grossi Toidukaubad,Kivila 26 13917 Tallinn,59.4435844,24.8728398,,,,
Grossi Toidukaubad Koeru GT,Grossi Toidukaubad,"Paide tee 2 Koeru, 73001 Järva maakond",58.9642102,26.0282891,,,,
Grossi Toidukaubad Kohila GT,Grossi Toidukaubad,"Viljandi maantee 3a Kohila, 79805 Rapla maakond",59.1673633,24.7604175,,,,
Grossi Toidukaubad Kose GT,Grossi Toidukaubad,"Kodu 2 Kose, 75101 Harju maakond",59.1841609,25.1645326,,,,
Grossi Toidukaubad Kose-Uuemõisa GT,Grossi Toidukaubad,"Kesk 1 Kose-Uuemõisa, 75102 Harju maakond",59.2048079,25.1042216,,,,
Grossi Toidukaubad Kotka,Grossi Toidukaubad,"Paul Pinna 21, 13613 Tallinn",59.4389718,24.8328909,,,,
Grossi Toidukaubad Kunda GT,Grossi Toidukaubad,"Kasemäe 12 Kunda, 44107 Lääne-Viru maakond",59.5005504,26.5181706,,,,
Grossi Toidukaubad Kuusalu GT,Grossi Toidukaubad,"Mäe 1 Kuusalu, 74619 Harju maakond",59.446654,25.4441859,,,,
Grossi Toidukaubad Laagna GT,Grossi Toidukaubad,Vikerlase 23 13619 Tallinn,59.4396531,24.8449413,,,,
Grossi Toidukaubad Lastekodu GT,Grossi Toidukaubad,Lastekodu 14 10113 Tallinn,59.4303357,24.7681117,,,,
Grossi Toidukaubad Lidla GT,Grossi Toidukaubad,Maleva 23 31025 Ida-Viru maakond,59.3277333,27.4186563,,,,
Grossi Toidukaubad Loksa GT,Grossi Toidukaubad,"Rohuaia 6 Loksa, 74816 Harju maakond",59.579214,25.7280064,,,,
Grossi Toidukaubad Loo GT,Grossi Toidukaubad,"Saha tee 9 Loo, 74201 Harju maakond",59.4344797,24.9473244,,,,
Grossi Toidukaubad Ly,Grossi Toidukaubad,"Ed. Vilde 6 Rakvere, 44310 Lääne-Viru maakond",59.3461204,26.3646218,,,,
Grossi Toidukaubad Majaka GT,Grossi Toidukaubad,Majaka 28a 11412 Tallinn,59.4278649,24.7918416,,,,
Grossi Toidukaubad Marja GT,Grossi Toidukaubad,Mustamäe tee 41 10616 Tallinn,59.4220526,24.6997761,,,,
Grossi Toidukaubad Mustvee GT,Grossi Toidukaubad,"Tähe 9 Mustvee, 49603 Jõgeva maakond",58.8497667,26.9423724,,,,
Grossi Toidukaubad Narva Megamarket,Grossi Toidukaubad,Rakvere 71 20607 Narva,59.3858702,28.184226,,,,
Grossi Toidukaubad Narva Pähklimäe 2a,Grossi Toidukaubad,Pähklimäe 2a 20608 Narva,59.3872085,28.1728609,,,,
Grossi Toidukaubad Narva Tallinna 47,Grossi Toidukaubad,Tallinna maantee 47 20606 Narva,59.3814604,28.1727016,,,,
Grossi Toidukaubad Narva Tallinna 52,Grossi Toidukaubad,Tallinna maantee 52 21005 Narva,59.3823193,28.1651071,,,,
Grossi Toidukaubad Oru,Grossi Toidukaubad,Virmalise 2 31221 Ida-Viru maakond,59.3716814,27.568436,,,,
Grossi Toidukaubad Outokumpu GT,Grossi Toidukaubad,"Outokumpu 13a Kohtla-Järve, 30321 Ida-Viru maakond",59.3970122,27.2947513,,,,
Grossi Toidukaubad Paasiku GT,Grossi Toidukaubad,Paasiku 2a 13915 Tallinn,59.4483993,24.8449583,,,,
Grossi Toidukaubad Paide GT,Grossi Toidukaubad,"Pikk 25 Paide, 72711 Järva maakond",58.8841628,25.5696459,,,,
Grossi Toidukaubad Paldiski GT,Grossi Toidukaubad,"Rae 26 Paldiski, 76805 Harju maakond",59.3496377,24.0597663,,,,
Grossi Toidukaubad Pille-Riin,Grossi Toidukaubad,"Tehnika 24 Tamsalu, 46107 Lääne-Viru maakond",59.162218,26.1123011,,,,
Grossi Toidukaubad Põltsamaa GT,Grossi Toidukaubad,"Tartu maantee 1b Põltsamaa, 48105 Jõgeva maakond",58.6524702,25.9826198,,,,
Grossi Toidukaubad Pärnu-Jaagupi GT,Grossi Toidukaubad,"Uus 20 Pärnu-Jaagupi, 87201 Pärnu maakond",58.6097843,24.5044195,,,,
Grossi Toidukaubad Raja,Grossi Toidukaubad,"Ilu puiestee 2 Rakvere, 44314 Lääne-Viru maakond",59.3517454,26.3422135,,,,
Grossi Toidukaubad Rakke GT,Grossi Toidukaubad,"Fr. R. Faehlmanni tee 38, Rakke, 46301 Lääne-Viru maakond",58.9902942,26.2353809,,,,
Grossi Toidukaubad Randvere GT,Grossi Toidukaubad,Randvere tee 115 11913 Tallinn,59.4912385,24.879201,,,,
Grossi Toidukaubad Saue GT,Grossi Toidukaubad,"Pärnasalu põik 1b Saue, 76505 Harju maakond",59.3218052,24.5565926,,,,
Grossi Toidukaubad Tammsaare tee GT,Grossi Toidukaubad,A. H. Tammsaare tee 93 12913 Tallinn,59.4061505,24.6912208,,,,
Grossi Toidukaubad Tapa Kaubanduskeskus,Grossi Toidukaubad,"Jaama 1 Tapa, 45106 Lääne-Viru maakond",59.2645209,25.9631476,,,,
Grossi Toidukaubad Tapa Tööstus,Grossi Toidukaubad,"Jaama 1 Tapa, 45106 Lääne-Viru maakond",59.2645209,25.9631476,,,,
Grossi Toidukaubad Tartu GT,Grossi Toidukaubad,Soola 7 51013 Tartu,58.378233,26.7356171,,,,
Grossi Toidukaubad TK Tööstus,Grossi Toidukaubad,"Laada 16 Rakvere, 44310 Lääne-Viru maakond",59.3475759,26.3636742,,,,
Grossi Toidukaubad Turu Kaubamaja,Grossi Toidukaubad,"Laada 16 Rakvere, 44310 Lääne-Viru maakond",59.3475759,26.3636742,,,,
Grossi Toidukaubad Türi GT,Grossi Toidukaubad,"Viljandi 13a Türi, 72212 Järva maakond",58.8032126,25.4295396,,,,
Grossi Toidukaubad Viimsi GT,Grossi Toidukaubad,"Kaluri tee 3 Haabneeme, 74001 Harju maakond",59.5098707,24.827268,,,,
Grossi Toidukaubad Viljandi GT,Grossi Toidukaubad,"Carl Robert Jakobsoni 2, Viljandi, 71013 Viljandi maakond",58.367358,25.5925625,,,,
Grossi Toidukaubad Voka,Grossi Toidukaubad,"Narva maantee 5 Voka, 41701 Ida-Viru maakond",59.4042026,27.5814492,,,,
Grossi Toidukaubad Võru GT,Grossi Toidukaubad,"Niidu 8 Võru, 65604 Võru maakond",57.8373684,27.0062365,,,,
Grossi Toidukaubad Väike-Ameerika GT,Grossi Toidukaubad,Väike-Ameerika 6a 10122 Tallinn,59.4262198,24.7355534,,,,
Grossi Toidukaubad Väike-Maarja GT,Grossi Toidukaubad,"Pikk 9 Väike-Maarja, 46202 Lääne-Viru maakond",59.1300195,26.2522398,,,,
Grossi Toidukaubad Vändra GT,Grossi Toidukaubad,"Pärnu-Paide maantee 26 Vändra, 87701 Pärnu maakond",58.6562671,25.0429449,,,,
Grossi Toidukaubad Ümera GT,Grossi Toidukaubad,Ümera 13a 13816 Tallinn,59.4441943,24.8921218,,,,
JetOil tankla,Muu,Kuivajõe tankla Kose Uuemõisa Kose vald,59.1824412,25.1154519,,,,
Johnny AS (Alexela),Muu,Imavere,58.7349272,25.767305,,,,
Jussi Viinapood,Muu,Jussi Viinapood Nikolai 24 Pärnu,58.3834703,24.4998601,,,,
Kolmjalg OÜ,Muu,"Rataskaevu 2, Tallinn",59.4376054,24.7429621,,,,
Liviko  Mere pst,Liviko,"Mere puiestee 6, 10111 Tallinn",59.4390336,24.7543953,,,,
"Liviko, Lootsi 8",Liviko,Lootsi 8 Tallinn,59.441113,24.7654481,,,,
Mermaks Alko pood,Muu,"Kose maantee 2, Kehra, 74307 Harju maakond",59.3342164,25.3318294,,,,
Obb Kaubandus,Muu,"Viljandi mnt 8, Särevere",58.7821984,25.4356277,,,,
Objekt kiirtoit,Muu,"Vaksali 11, Viljandi",58.3736496,25.5772325,,,,
Objekt kiirtoit,Muu,"Vaksali 11, Viljandi",58.3623351,25.5830815,,,,
Olerex Aardla,Olerex,Tartu Aardla rist,58.3554323,26.7182858,,,,
Olerex Ahja tankla,Olerex,"Tartu mnt 17, Ahja alevik, Ahja vald vald, Põlvamaa 63710     ",58.2062011,27.0743459,,,,
Olerex Ahtme,Olerex,"Altserva 1A, Kohtla-Järve linn, Ida-Virumaa 31021     ",59.3248877,27.4336772,,,,
Olerex Alatskivi,Olerex,"Tartu mnt. 14, Alatskivi alevik, Alatskivi vald, Tartumaa 60201     ",58.5999061,27.133798,,,,
Olerex Antsla,Olerex,"F. R. Kreutzwaldi tn 11, Antsla linn, Antsla vald, Võrumaa 66403     ",57.8301252,26.5330017,,,,
Olerex Aovere,Olerex,Olerex Aovere,58.4466424,26.8086278,,,,
Olerex Aseri,Olerex,"Tankla, Koogu, 43404 Ida-Viru maakond",59.438829,26.8081555,,,,
Olerex Elva,Olerex,"Valga mnt 3, Elva Linn, Tartumaa 61504     ",58.2212428,26.4057457,,,,
Olerex Enge,Olerex,"Jädivere küla, Vigala vald, Raplamaa 78013     ",58.7070278,24.4420725,,,,
Olerex Haage tankla,Olerex,"Side põik 1a, Haage küla, Tähtvere vald vald, Tartumaa 61402 ",58.3564018,26.6209346,,,,
Olerex Haapsalu,Olerex,"Tallinna mnt 75, Uuemõisa alevik, Ridala vald, Läänemaa 90401     ",58.9384394,23.5731852,,,,
Olerex Iisaku,Olerex,"Tartu mnt. 67, Iisaku alevik, Iisaku vald, Ida-Virumaa 41101     ",59.0823755,27.3167928,,,,
Olerex Jõelähtme,Olerex,"Kivisilla tee 1, Jõelähtme küla, Jõelähtme vald, Harjumaa 74202     ",59.4408071,25.1374691,,,,
Olerex Jõgeva,Olerex,"Estakaadi 1, Jõgeva linn, Jõgevamaa 48303 ",58.7451738,26.4005455,,,,
Olerex Järva-Jaani,Olerex,"Koeru tee 21, Järva-Jaani alev, Järva-Jaani vald, Järvamaa 73301     ",59.0331352,25.8904669,,,,
Olerex Jüri,Olerex,"Viadukti põik 6, Pildiküla, Rae vald, Harjumaa 75308     ",59.3592502,24.8743554,,,,
Olerex Keila,Olerex,"Põhjakaare 8, Keila, Harjumaa 76610",59.3123544,24.4275265,,,,
Olerex Kilingi-Nõmme,Olerex,"Kalmistu tee 2, Saarde küla, Pärnumaa 86213     ",58.1438375,24.960579,,,,
Olerex Kiviõli,Olerex,"Vabaduse pst. 25, Kiviõli linn, Ida-Virumaa 43125   ",59.3646745,26.9680689,,,,
Olerex Kunda,Olerex,"Selja tee 7, Kunda linn, Lääne-Virumaa 44107    ",59.4956946,26.5167688,,,,
Olerex Kuressaare,Olerex,"Tallinna tn. 84, Kuressaare linn, Saaremaa 93815    ",58.2646486,22.5135686,,,,
Olerex Kvissentali,Olerex,"Aruküla tee 1, Tartu linn",58.3987057,26.7095358,,,,
Olerex Käina,Olerex,"Mäe tn. 2, Käina alevik, Käina vald, Hiiumaa 92101   ",58.829102,22.7738055,,,,
Olerex Kärdla,Olerex,"Kõrgessaare mnt. 45, Kärdla linn, Hiiumaa 92412   ",58.9945521,22.721862,,,,
Olerex Lemmatsi,Olerex,"Lemmatsi küla, Ülenurme vald, Tartumaa 61702     ",58.3293662,26.6066646,,,,
Olerex Lihula,Olerex,"Alaküla tee 22, Hälvati küla, Lihula vald, Läänemaa 90303     ",58.6849895,23.8094479,,,,
Olerex Lähte,Olerex,"Kase tn 2, Lähte alevik, Tartu vald, Tartumaa 60502     ",58.4907485,26.6818518,,,,
